Headlines,Date
A young waitress finds her footing in the second season of “Sweetbitter.” And the British mystery series “Grantchester” is back for Season 4.,2019/07/14
"The strong results indicate large companies are still investing in new technology, shrugging off concerns of a downturn or trade war.",2019/07/18
The city did the rest of the country a favor. Corporate-relocation handouts are terrible economic policy.,2019/02/18
James Daunt fought Amazon and rescued the country’s biggest bookstore chain. Now comes Chapter 2.,2019/08/08
The couple met through the dating app OkCupid.,2019/08/11
"The conventional belief is that only small tribes could have inhabited the Amazon jungle, but new discoveries call that into question.",2016/12/14
The “Scream” reboot returns for a third season. And a new documentary series about the space race comes to PBS.,2019/07/08
"Walmart Inc's Indian unit Flipkart is set to roll out a free video service for all of its 160 million customers this month as the ecommerce company looks for new ways to increase its user base in smaller towns and cities, it said on Monday.",reuters/20
New movies and TV shows are added to streaming platforms all the time. Here are the ones we think are most interesting in the coming month.,2017/10/30
"In an unusual partnership, Amazon and Microsoft are working together to extend the abilities of their voice-controlled digital assistants.",2017/08/30
The Latest on the alleged Capital One hacker (all times local):,aponline/2
What some Bolivians with the world’s healthiest arteries might tell us about cardiac fitness.,2017/04/06
The bankruptcy filing by Toys “R” Us shows just how much pain store operators are feeling — and highlighted that more suffering is in store.,2017/09/19
"Just as investors were mourning the demise of the old-style conglomerate, Jeff Bezos’ company announced it would stretch its boundaries by buying Whole Foods.",2017/06/19
"The proposed deal, which could be worth more than $60 billion, would accelerate the health care industry’s transformation.",2017/10/26
"Deforestation in Brazil's rainforest has jumped around 67% in the first seven months of the year, according to preliminary data from Brazil's space research agency, which the government has attacked as misleading and harmful to the national intere...",reuters/20
"Yes, Google, Tesla, Amazon and others are still hiding quirky software surprises in their products, mostly to give you a chuckle.",2019/08/08
"Boxy, unadorned and often overlooked, warehouses are suddenly in hot demand, thanks in part to a rise in e-commerce as consumer shopping habits move online.",2017/10/24
The New York Times’s book critics select the most outstanding memoirs published since 1969.,interactiv
The meal-delivery service’s plans for a public debut come amid upheaval in the food retail industry generated by Amazon’s takeover bid for Whole Foods.,2017/06/19
"The cards, used mainly by consumers who have little credit history or a poor one, haven’t been widely adopted. Amazon is now offering one.",2019/06/14
"Amazon’s sci-fi anthology takes license with Philip K. Dick stories, but — with one striking exception — the episodes are pale replicants.",2018/01/11
Information technology managers have started to worry about the difficulty of switching cloud suppliers in the event of a breakdown or hacking attack.,2017/06/05
The online retail giant said it is seeking a location in North America for a new complex that would cost as much as $5 billion to build and operate.,2017/09/07
"With “Hobbs & Shaw,” the actor continues his action film career as the world’s savior. Here’s a look at how he does it.",2019/05/24
"Amazon, Apple, Facebook and Google, facing the growing possibility of antitrust action and legislation to rein in their power, are spending freely to gain influence and access.",2019/06/05
"As head of New York’s Service Employees union, he successfully campaigned for better pay and working conditions for more than 170,000 people.",2019/07/12
"And a discussion of how Facebook is harnessing artificial intelligence — well, almost — to take on “hard questions.”",2017/06/17
"Two tech reporters analyze the week’s big tech news, including Uber’s surprising new C.E.O. and how Amazon might change Whole Foods.",2017/09/01
"RIB Software is open for talks with potential long-term investors that could help the German construction IT developer roll out its digital strategy, Chief Executive Thomas Wolf told business daily Handelsblatt. ",reuters/20
"Amazon is trying, starting with a new Jim Gaffigan set. So is HBO, though it’s more niche with acts like Julio Torres. And don’t count out YouTube.",2019/08/09
A new FX series recreates the professional and personal relationship between Bob Fosse and Gwen Verdon. Here are some of the onscreen highlights from their careers.,2019/04/09
The streaming wars are heating up and the phone giant’s new service will have “Friends” exclusively.,2019/07/09
"The newest versions of Amazon’s tablets, starting at $50, are unabashedly slow and unflashy, but just capable enough to be worth the cheap price.",2017/06/06
"Antitrust is the nuclear bomb of regulatory moves, but at a moment when nearly everything in America seems contentious, proposals to break up internet giants are gaining support.",2019/03/17
Piracy is a growing menace on the rivers of the Amazon. Join the antipiracy police force on a patrol.,video/worl
The grocery chain’s “Whole Paycheck” reputation doesn’t appear to be threatened.,2019/04/03
New movies and TV shows are added to streaming platforms each month. Here are the titles we think are most interesting in July.,2017/06/29
"Phoebe Waller-Bridge also has a big day, while snubs included Chuck Lorre and Julia Roberts.",2019/07/16
And what Amazon abandoning New York means for the city — and the country.,2019/02/21
Lady Gaga and Bradley Cooper’s soundtrack notched a fourth week at the top as Gunna and Offset opened strong at No. 3 and 4.,2019/03/04
New York Times reporters followed the exchanges and provided context around the candidates’ claims.,2019/06/26
"Few companies have been able to keep Amazon at bay after it decides to target a new market. Zalando, Europe’s biggest online fashion retailer, is the latest to try.",2016/12/16
Europe's largest property firm Unibail-Rodamco Westfield raised its full-year earnings guidance on Wednesday after reporting strong first-half growth in tenant sales at its flagship European and American retail centres.,reuters/20
"“The Nun” airs on HBO. And Christina Applegate stars in “Dead to Me,” a dark comedy on Netflix.",2019/05/03
"“When people have something to say, they come to Medium, where they can say it at length,” a spokeswoman for the online platform said.",2019/02/08
Google and Amazon have thrived as regulators largely kept their distance. Moves by the Justice Department and the F.T.C. suggest that may be changing.,2019/06/03
A former military airfield in Belgium will be used to test technology and help regulators set rules for delivery by unmanned flying devices.,2018/12/31
"Investors have soured on the stocks of Facebook, Amazon, Apple, Netflix and Alphabet since the start of October, wiping out their gains in market value this year.",2018/11/20
"Amazon, Apple, Facebook and Google are all facing federal antitrust inquiries — a potentially long and painful period in their corporate lives.",2019/06/04
"“I hope they took dental photographs of Biden before this debate,” Stephen Colbert said. Jimmy Fallon summed up the evening as “Operation Destroy Joe Biden.”",2019/06/28
The 71st Emmy Awards will be handed out in September.,2019/07/16
"The long-running legal drama begins its final season, and a British reggae classic is available to stream.",2019/07/17
"Members of the cast of “Beverly Hills, 90210” reunite on Fox. And “American Hustle” airs on FXM.",2019/08/07
The latest installment in the “Jurassic Park” franchise gets its TV debut. And four drag queens help a bride in need in a new TLC special.,2019/03/09
Fears voiced over hackers and loss of privacy. ,paidpost/c
Politicians have lots of ideas for regulating big tech. Here’s how to know which ones work.,2019/03/28
"The battle to sell men’s shirts and food, and just about everything else, is a competition that will define the future of retail.",2017/06/16
"Chico Mendes’s murder in 1988 became a turning point in Brazil’s environmental consciousness, and after it, a global movement to save the Amazon gained impetus.",2016/11/27
Jemaine Clement and Taika Waititi bring funny vampires to FX. And Reinaldo Marcus Green’s “Monsters and Men” is streaming on Hulu.,2019/03/27
Privacy worries have long surrounded the technology. Here’s a look back.,2019/05/15
"“Baskets” returns to FX for a fourth season. And “Vice,” with Christian Bale as Dick Cheney, is on Hulu.",2019/06/13
"Mischa Barton joins the MTV reality show, and Netflix’s time travel crime thriller returns.",2019/06/24
"Martin Scorsese’s new Bob Dylan documentary debuts on Netflix. And on Syfy, “Krypton” returns for a second season.",2019/06/12
Here’s what you need to know.,2019/06/23
"The couple met on a dating app in 2016 and had their first date at Maialino, a restaurant in New York.",2019/07/28
The romance novelist Cristiane Serruya has been accused of copying passages from dozens of writers.,2019/04/24
"A prison drama debuts on HBO. And the 2019 Film Independent Spirit Awards air live from Santa Monica, Calif.",2019/02/23
Watch what these Democratic presidential candidates had to say about gun ownership and 17 other questions.,2019/06/19
"The move is the most ambitious effort yet by a tech company to fund construction for local teachers, firefighters and other middle- and low-income residents.",2019/01/16
Indigo is expanding to the United States with its new model for how a big bookstore chain can thrive in the era of online retail.,2019/05/01
"Salesforce’s deal to buy the business tools maker Tableau, its largest ever acquisition, was pushed by the need to make business information understandable.",2019/06/10
"Amazon’s “Made in Heaven” complicates the glamour of wealthy Indian weddings by confronting patriarchy, homophobia and class.",2019/04/09
Want to catch up on your moviegoing? Here’s what our chief critics say is worth checking out.,2019/06/26
A new Netflix comedy follows a grad student with a side gig as a dominatrix. And “Cobra Kai” returns for a second season.,2019/04/24
We spent three months putting the 2020 Democrats on the spot. We were skeptical that most of them would participate. Here’s what it was like.,2019/06/22
Tim Robinson’s comedy show hits Netflix. And a documentary series recounts events that made 1969 so tumultuous.,2019/04/23
A new chief executive hopes that the TV and movie production business can help overcome significant difficulties elsewhere in the company.,2019/05/16
"“I want to become the Kleenex of sex toys,” says Jamie Leventhal, whose small consumer products company was tapped by the giant retailer to create a new line.",2019/07/03
A primer on the players and plot points in a fight that erupted on Thursday in accusations of extortion.,2019/02/08
"In 1988, the murder of Chico Mendes sparked a movement of environmental activists, celebrities and indigenous peoples that made saving the Brazilian rain forest an international rallying cry. But what is happening there now?",video/us/1
An Australian crime series gets a new spinoff on Acorn TV. And a documentary about Queen and Adam Lambert is on ABC.,2019/04/29
"Alice Paul Tapper, who wrote “Raise Your Hand,” is just 11. And the author of the Expanse novels, James S. A. Corey, is really two men — Daniel Abraham and Ty Franck.",2019/04/05
The pioneering hip-hop group filed a $50 million lawsuit saying that retailers have sold unauthorized products.,2016/12/30
"After the TV industry unveils its new-season schedules and series to advertisers in New York each May, it takes the show on the road to a swank Southern California hotel ballroom to coax attention from television-centric news reporters and critics...",aponline/2
A comic dissects sexuality and race in a new special on HBO. And Willie Nelson takes the stage on “Austin City Limits.”,2019/01/26
"Advances in artificial intelligence could supercharge surveillance cameras, allowing footage to be constantly monitored and instantly analyzed, the A.C.L.U. warned in a new report.",2019/06/13
"Virtual helpers that come with female voices by default are perpetuating bias, a Unesco report argues.",2019/05/22
"Big tech stocks including Microsoft have been leading the market higher, a rally that would have been hard to imagine at the end of 2018.",2019/04/25
New movies and TV shows are added to streaming platforms each month. Here are the titles we think are most interesting in October.,interactiv
Olivia Cooke and Anya Taylor-Joy play teens with dark sides in “Thoroughbreds.” And Benedikt Erlingsson’s “Woman at War” hits Hulu.,2019/07/05
"The couple met in 2017 at a rock climbing event in Trier, Germany.",2019/03/03
"The U.S. Federal Trade Commission is investigating whether Facebook Inc acquisitions were aimed at buying up potential rivals before they could become a threat to the social media company, the Wall Street Journal reported on Thursday, citing peopl...",reuters/20
“Yellowstone” returns for a second season on Paramount Network. And a rare Claire Denis movie streams on the free site Le Cinéma Club.,2019/06/19
The “Das Boot” TV adaptation is on Hulu. And “Grand Hotel” premieres on ABC.,2019/06/17
A comedy about the end of a romance is streaming on Netflix. And “Aliens” airs on IFC.,2019/05/02
Youssef gets his first HBO special. And a buddy comedy starring Mila Kunis and Kate McKinnon lands on Amazon and Hulu.,2019/06/29
"For our project on the future of movies, the producer foresees his horror films living on in theaters, but something like his Oscar-winning “Whiplash”? Nope.",2019/06/20
A Metropolitan Opera production airs on PBS. And Alejandro G. Iñárritu’s “The Revenant” brings operatic intensity to FXM.,2019/03/24
"“The Great Silence,” one of the best genre films of that year, is arguably the director’s masterpiece.",2018/12/28
The latest installment in the “Fantastic Beasts” series airs on HBO. And a British thriller’s second season arrives on Hulu.,2019/07/13
"As Alphabet prepares to report quarterly earnings, investors will largely remain in the dark about one of its most important businesses.",2019/07/24
"“To qualify, all a candidate needed was to poll at 1 percent or higher,” the “Tonight Show” host said. “That’s it? One percent? I mean, even O.J.’s at 2 percent.”",2019/06/27
"We asked Andrew Yang 18 questions on subjects including climate change and border control, fast food and personal humiliation.",interactiv
"Love blossoms through the cold in “Winter Castle,” and sink your teeth into “Twilight.”",2019/01/05
"Studies have shown that facial recognition software can return more false matches for African-Americans than for white people, a sign of what experts call “algorithmic bias.”",2019/07/08
Images of the Starlink constellation in orbit have rattled astronomers around the world.,2019/06/01
"With the ‘Yellow Vest‘ movement widening the country’s budget shortfall, the French government is accelerating a plan to hit companies like Apple, Facebook and Google with a big bill.",2018/12/18
The creator of “Mad Men” has signed on for an eight-episode series for the streaming service.,2016/10/27
"Could Facebook, Google or Apple be considered monopolies? Increased government oversight of the technology giants could consider that possibility.",2019/06/17
"The French Senate voted to impose a tax on Facebook, Google and other American technology companies despite a blunt warning from the Trump administration.",2019/07/11
“CMA Fest” is on ABC. And “Patriot Act” starts its fourth season on Netflix.,2019/08/04
Arkansas investigators are seeking access to what may have been recorded on the electronic personal assistant.,2016/12/28
Amazon is coming to New York despite the city’s transit horrors. Other companies may not be so forgiving.,2018/12/13
"The legal action against Silicon Valley’s giants will be long, difficult, uncertain and, for some people, disappointing.",2019/06/07
"Inspiring women take center stage in “Women, War & Peace II.” And a couple grapples with an intruder in “The Salesman.”",2019/03/25
A case would renew scrutiny of the company amid a growing chorus of criticism about the power of big tech.,2019/05/31
"It wasn’t a new thing, for the president to go after the Amazon founder. But it was odd to see him making nice with his onetime friend David J. Pecker.",2019/01/14
"Pursuit, a nonprofit jobs training program in Queens, is finding success at moving low-income New Yorkers into well-paying jobs.",2019/03/15
Here’s what you need to know.,2019/07/10
"Google Home and Amazon Echo don’t carry paid advertising, so companies are trying more creative ways of using them to reach consumers.",2018/12/02
A six-part drama series wraps up on TNT. And a new special about a Michael Jackson documentary airs on HBO.,2019/03/04
"The legislation, which is on the governor’s desk, would surcharge businesses like Microsoft and Amazon that rely on highly skilled workers.",2019/05/08
Fractures are growing among both Democrats and Republicans.,2019/02/19
"Last year’s live action Winnie the Pooh tale hits Netflix. And Sandra Bullock and Melissa McCarthy are buddy cops in “The Heat,” on FX.",2019/03/06
"Chiwetel Ejiofor’s directorial debut hits Netflix. And a new action series, “The Widow,” is streaming on Amazon.",2019/03/01
"The executive producers of CNN’s Decades series tackle cinema, and Starz’s time-travel love story is available to stream on Netflix.",2019/07/07
"A look at Paige Thompson, the former Amazon Web Services employee who was arrested in the Capital One data breach.",2019/07/30
"Capital One Financial Corp's assurances that a major data breach would have a limited impact on customers or profit failed to convince investors on Tuesday, with the bank's shares closing down 5.9%.",reuters/20
The company’s acquisition of Whole Foods sets up a clash between two vastly different visions for the future of labor.,2017/07/18
"Corey Payne did not see that the glasses he purchased, and gave to his fiance, were recalled by Amazon because he purchased them through his aunt's account.",interactiv
"One of the country's biggest credit card issuers, Capital One Financial, is the latest big business to be hit by a data breach, disclosing that roughly 100 million people had some personal information stolen by a hacker.",aponline/2
"Nearly half of British homes subscribe to a streaming service such as Netflix, Amazon Prime Video, Now TV or Disney Life, as traditional TV viewing continues to decline, according to media regulator Ofcom.",reuters/20
"In nearly tripling its debt to buy Whole Foods, the e-commerce behemoth is starting to look like a traditional retailer.",2017/08/16
Silvia Furmanovich created a new collection inspired by her trips into the Amazon.,2018/11/30
The Salt Lake City Police Department found charred human remains in Ayoola Ajayi’s backyard. His book had been about a teenager who witnessed two fiery deaths.,2019/07/03
New movies and TV shows are added to streaming platforms all the time. Here are the ones we think are most interesting in the coming month.,2017/12/01
An engineer in Seattle was charged with stealing the information of millions of customers from Capital One. The incident was surprisingly common.,2019/07/30
"The announcement comes amid a rising backlash to cashless stores, and new laws against them in New Jersey and Philadelphia.",2019/04/25
"Mr. Jenkins, the filmmaker behind “Moonlight,” will write and direct this series based on Colson Whitehead’s award-winning novel.",2017/03/27
A wide range of companies are lining up to complain about Silicon Valley’s power as lawmakers and regulators step up their scrutiny of Big Tech.,2019/06/10
A documentary looks at a rivalry between competitive eaters. And Fritz Lang’s “Metropolis” airs alongside one of its forebears.,2019/07/02
A newspaper is reporting that the German government plans to stop supporting forest and biodiversity projects in Brazil because of what it sees as evidence of the South American country's lack of commitment to curbing deforestation in the Amazon r...,aponline/2
"A former corporate lawyer has a radical proposal for curbing corporate America’s excesses, even if it means more legal fights for his onetime clients.",2019/07/30
"Uber, Lyft and others going public this year are more established than their tech counterparts from the late 90s, but as some see slowing growth, there are questions about where they go from here.",interactiv
"J. David Goodman, a metro reporter, has chronicled the Google and Amazon invasions. But the most effective technology for reporting on the city is still coffee.",2019/05/01
"The European Commission said it would take Ireland to court for not clawing back billions from Apple, and ordered Luxembourg to recover around $293 million from Amazon.",2017/10/04
"As big tech companies continue to assert their influence, a handful of businesses are dominating both in sales and on Wall Street.",2017/05/30
"The ghosts of the sneakers I didn’t buy are following me around the World Wide Web! An in-store purchase is more satisfying, studies confirm.",2017/10/28
"The troubled German lender unveiled its reorganization plan yesterday, which involves cutting thousands of jobs and reducing its global ambitions.",2019/07/08
A short film from Paul Thomas Anderson and Thom Yorke hits Netflix. And stream Xavier Dolan’s “Laurence Anyways.”,2019/06/27
"Jonah Hill’s directorial debut hits Amazon. And Mila Kunis, Kathryn Hahn and Kristen Bell star in “Bad Moms,” on FX.",2019/04/18
The National Basketball Association on Tuesday said that Amazon.com Inc's Twitch would be its exclusive digital partner for streaming USA Basketball games globally through 2020.,reuters/20
Amazon promised lower prices at Whole Foods starting Monday. We went shopping to see if prices really got cheaper.,2017/08/28
Other countries have their eyes on the money that lawmakers want to put on American tax rolls. But a European crackdown could work in Washington’s favor.,2017/10/13
"The head of Brazil's space research agency INPE, Ricardo Galvao, is set to leave his job following a public dispute with President Jair Bolsonaro over deforestation statistics, a spokesperson for the science ministry said on Friday.",reuters/20
"The online retailing giant is trying to bring its own formula to traditional retailing. If it is successful, it could change how all stores operate.",2017/03/25
The Taushiro tribe vanished into the jungles of the Amazon basin in Peru generations ago. Amadeo García García is now the last native speaker of their language.,2017/12/26
"The American company’s local partner tells customers not to offer ways to dodge China’s internet filters, as a new cybersecurity law takes effect.",2017/08/01
"Fifty years ago, humans set foot on the moon. These documentaries and feature films try to put that and other real-life space missions into context.",2019/07/19
"At physical bookstores like the new one opening in Manhattan this week, the company is drawing on its vast troves of customer data to shape the design.",2017/05/24
"It’s not Lyft or Didi Chuxing or another ride-hailing firm. Instead, Uber sees itself as the Amazon of transportation.",2019/04/28
The next jobs set to disappear may be ones that are a bigger part of people’s daily lives: retail workers and cashiers in stores and restaurants.,2017/06/17
"Members of a unit struggling to curb the jungle’s destruction include an environmental activist, an Arctic oceanographer and a science teacher.",2017/04/06
"Ms. Warren seeks to break up companies like Amazon, Google, Apple and Facebook. And she has taken her fight to Silicon Valley.",2019/06/26
A longtime approach of making bold — and sometimes head-scratching — moves has brought Jeff Bezos staggering success.,2017/06/17
"A proposed exception to the celibacy requirement would apply only in remote areas of the Amazon, but it is a significant shift in church policy.",2019/06/17
"Even if you delete a finished book right from the iPad’s Kindle collection, you still have a backup copy in Amazon’s cloud.",2018/02/08
"Our guide to stand-up, improv and variety shows happening this weekend and in the week ahead.",2019/07/11
We can’t look away. But we should. ,2019/01/18
"While the United States may be weakening protections for wilderness, the creation of Yaguas National Park protects millions of acres from development and deforestation.",2018/02/14
"Find out why beverage companies fight recycling, and why it’s so hard to lose weight. Take the citizenship test. Learn about Cori Gauff. And more.",2019/07/05
How could I have once been embarrassed by the borough that took on Amazon? A new day has dawned over the Throgs Neck Bridge.,2019/02/16
"She was as qualified as any man to be an astronaut and passed all the tests, but NASA wasn’t interested in sending women into space in 1961.",2019/04/19
"At an experimental store on the ground floor of a new Amazon office building in Seattle, shoppers will be able to pluck what they want off the shelves and leave without waiting to pay.",2016/12/05
"To participate, just post a comment here by Aug. 9 at 9 a.m. Eastern. This week’s winners will be announced on Aug. 20.",2019/08/02
Here’s what you need to know at the end of the day.,2019/04/04
"The business would mesh nicely with the e-commerce giant, while the acquisition would show that Silicon Valley supports efforts to keep jobs at home.",2017/01/06
"Pay-TV software maker Synamedia, supplier to Comcast's Sky and AT&T's DirecTV, believes the pay-TV market will continue to grow despite the rise of streaming services such as Netflix and Amazon Prime Video.",reuters/20
"Even as Facebook, Google and others confronted challenges in 2018, their ambitions were undimmed. After all, so much of life remains undisrupted.",2019/01/01
The tech boom fueling the city’s prosperity has also filled it with building sites. Residents welcome the growth but are wary of its hazards after a crane collapse left four dead.,2019/04/28
"A.T. White’s experimental debut feature is patient and introspective horror, anchored by a charismatic performance by Virginia Gardner.",2019/06/20
This word has appeared in 134 articles on NYTimes.com in the past year.,2019/04/15
"Corrections appearing in print on Wednesday, July 31, 2019.",2019/07/30
"Olivia Jade Giannulli, an influencer with big audiences on YouTube and Instagram, posted sponsored content about being a student.",2019/03/12
Noah wondered whether the jurors who found the Mexican drug kingpin guilty would be safe.,2019/02/13
An attempt to preserve the home of a beloved independent bookstore points to a new way to think about saving the city’s cultural heritage.,2019/01/30
"Three top-performing funds each racked up returns of more than 25 percent, helped by bets on small- and mid-cap growth stocks.",2019/04/12
"The couple met in 2011 at a Halloween party at Trinity College, from which they graduated. The bride dressed up as the Tin Man and the groom dressed up as a Blue Man.",2019/03/17
"Scott Foley and Maggie Greene star in a new, comedic spy series on ABC. And the Oscar-winning documentary “Free Solo” is available to rent online.",2019/02/27
"Celebrate the 50th anniversary of the Apollo 11 moon landing with “First Man,” “For All Mankind” and more.",2019/07/20
Here’s what you need to know.,2019/06/04
"A security consultant told Rolling Stone that at a concert, a device took fans’ photos for comparison with a database of potential stalkers.",2018/12/13
"About 250 pilots for the carrier, ABX Air, went on strike on Tuesday, accusing their employer of forcing them to work an excessive number of flights.",2016/11/23
President Xi Jinping misjudged President Trump’s eagerness for a deal — and how far he could push the American negotiators.,2019/05/17
A docuseries about the Romanov family premieres on Netflix. And a film about one of the bloodiest incidents in British history comes to Amazon.,2019/07/03
Here’s what you need to know about the week’s top stories.,2019/07/14
Martin Scorsese’s white-collar crime tale airs on FXM. And a Netflix series turns San Francisco into a martial arts battleground.,2019/08/08
What we found shows the technology’s promise — and perils.,interactiv
The film director worked often with Hollywood greats like Gene Kelly and Audrey Hepburn.,2019/02/23
"Let us now praise a famous Master of the Internet, who has changed the way we live — and isn’t done yet.",2017/05/15
"Amazon and Google are aggressively opening offices outside of their Silicon Valley and Seattle hometowns. On Thursday, Apple said it would invest $1 billion in Austin, Tex.",2018/12/13
Internet users on the Chinese mainland have blacklisted popular bubble tea brands from Taiwan after a Hong Kong franchise urged solidarity with street protesters in the Asian financial hub.,reuters/20
The maybe-final episodes of “Arrested Development” hit Netflix. And a new documentary about Richard Pryor airs on TV.,2019/03/15
"Julio Torres shares the stories of inanimate objects in a new special. And Matthew McConaughey plays a stoner poet in “The Beach Bum,” now on Hulu.",2019/08/10
This week Air Canada announced that it will buy Montreal-based Air Transat. The move will give it 60 percent of Canada’s trans-Atlantic market.,2019/06/28
“David Bowie: Finding Fame” airs on Showtime. And stream a Kurt Weill opera on BroadwayHD.,2019/08/09
"The untitled project, to be shot in Spain, is the director’s first since losing a major distribution deal in the wake of the #MeToo movement.",2019/06/04
"Plus, Boeing’s plane problems are adding up, and Facebook prepares for a big fine — or a slap on the wrist?",2019/04/27
"Big Tech is reducing consumer choice and harming innovation, according to a report ordered by the country’s top economic official.",2019/03/12
"The acclaimed British actor died Thursday, leaving behind a body of work that spanned nearly six decades.",2019/02/08
"Plus, will the Fed cave to pressure and lower interest rates?",2019/06/15
"Steve Case has been on the road with J.D. Vance, the author of “Hillbilly Elegy,” to promote entrepreneurship across the United States.",2018/12/13
Wyatt Cenac’s late-night show returns to HBO. And Brie Larson’s directorial debut hits Netflix.,2019/04/05
"The first skirmishes have already been fought in what could turn into a tech cold war. “The game is on,” said the Netflix chief executive, Reed Hastings.",2019/03/22
"The video gaming industry is growing but it’s not clear which, if any sectors, are the most promising. Index funds have been a good solution lately.",2019/07/12
"Also this week, why you should talk about global warming",2019/07/10
"Brazil's government does not expect an international boycott of Brazilian products due to increasing deforestation in the Amazon rainforest basin, presidential spokesman General Otavio Rego Barros said on Wednesday.",reuters/20
"Brazilian President Jair Bolsonaro on Wednesday said satellite data regarding deforestation of the Amazon rainforest collected by government space research agency INPE would be ""compiled"" to reach more exact numbers.",reuters/20
"Whodunit? The government, of course, in a British thriller that follows in the hallowed footsteps of “Edge of Darkness” and “State of Play.”",2017/10/26
Google said it would acquire Looker for $2.6 billion in a bid to catch rivals in the cloud-computing industry.,2019/06/06
,aponline/2
"Amazon briefly shares topped $1,000 on Tuesday. The milestone comes as Jeff Bezos’ company expands beyond e-commerce into cloud computing and entertainment.",2017/05/30
"Katie Thomas, who covers health care, has chronicled how the technology disruption in her field has raised questions that are still unanswered.",2019/08/07
America continues to undermine Chinese access to U.S. technology. That could loom over impending talks between President Trump and President Xi Jinping of China.,2019/06/24
"In Britain, Amazon has collaborated with the National Health Service to provide medical advice through Alexa. A health official said the feature could help reduce the strain on doctors.",video/embe
"Over the years, the online giant has picked off different retail businesses, from books to electronics. Now apparel sellers are starting to succumb.",2017/04/30
"In Katherine Rundell’s “The Explorer,” four kids must find their way out of the jungle after a plane crash, stoking young readers’ dreams and anxieties: What if there were no parents? Could I eat a grub if I had to?",2017/10/27
"The software giant plans to invest billions of dollars in renovating its campus in Redmond, Wash., to create a more urban atmosphere.",2017/11/29
Here’s our pick of the titles joining streaming services this weekend.,2017/09/15
"Amazon’s new Echo Show smart speaker, which comes with a touch screen, represents the model for a new kind of communal, household computer.",2017/06/28
"As the e-commerce giant moves into physical retail and health care, traditional businesses may feel the need to take pre-emptive action, including seeking deals.",2017/10/27
The head of Brazil's National Institute for Space Research left his position Friday amid criticism by President Jair Bolsonaro about the agency's reports on deforestation in the Amazon.,aponline/2
"Ricardo Galvao, the sacked head of Brazil’s space research agency, said on Saturday the trend of sharply rising deforestation was undeniable, a day after he was fired following a public spat with President Jair Bolsonaro over data published by the...",reuters/20
"While the United States is focused on reining in costs, Chinese tech firms are looking to build the hospital of the future using artificial intelligence.",2018/01/31
"Drama, comedy and the search for meaning: This weekend brings the goods.",2017/09/22
The deal for a physical grocery retailer reflects Amazon’s ambition to become an even more frequent shopping habit to customers.,2017/06/16
New movies and TV shows are added to streaming platforms all the time. Here are the ones we think are most interesting in the coming month.,2018/01/02
The agency said it would look into concerns about anticompetitive behavior by some of the industry’s biggest companies.,2019/07/23
"Also: Barneys files for bankruptcy, and more of the week’s top stories in business and tech.",2019/08/11
,aponline/2
Investigators are looking into reports that around 10 tribe members died when they were set upon by gold miners.,2017/09/10
"Isabella Kwai, a reporter in Australia, rarely takes notes on paper anymore and instead uses her iPhone. She can still look sources in the eye while typing.",2019/02/20
Amazon agreed to buy the grocery chain Whole Foods for $13.4 billion.,2017/06/20
"“The Store,” at No. 4 after three weeks on the hardcover fiction list, features a married couple at war with a dominant online retailer.",2017/09/08
"“These two innovators will merge the ideals of conscious capitalism and wicked efficiency,” one reader says. Others are less enthusiastic.",2017/06/25
"Amazon’s annual deals blowout, Prime Day, is back again — but not all the deals are worthwhile. Luckily, we can help.",2017/07/10
"Brazil's government does not expect an international boycott of Brazilian products due to increasing deforestation in the Amazon rainforest basin, presidential spokesman General Otavio Rego Barros said on Wednesday.",reuters/20
"Amazon Wardrobe, part of the Prime service and part of the company’s effort to expand in apparel, will let customers order three to 15 items of clothing without buying it.",2017/06/20
"Jerrod Carmichael’s short, quiet documentary is streaming on HBO platforms.",2019/05/15
"A handful of companies already dominate the market for digital assistants. The implications for consumer privacy are a serious concern, researchers say.",2019/06/14
"Apple Inc and Alphabet Inc's Google have globally suspended reviewing recordings from users interacting with their voice assistants, as concerns over data privacy mount.",reuters/20
"There are dozens of communities that continue to live completely off the grid, mostly in the Amazon, where drug traffickers, miners and ranchers threaten them.",2018/11/30
Is tech really the solution to student safety?,2019/07/02
"Every month, subscription streaming services add a new batch of movies and TV shows to their libraries. Here are the titles we think are most interesting for October.",interactiv
President Jair Bolsonaro threatened on Thursday to dismiss officers at the Brazilian agency that monitors deforestation in the Amazon over its publication of data he disagrees with.,aponline/2
"If Walmart wants to make a rival bid for Whole Foods, it will need to overcome strategic and financial obstacles. For now, Amazon has the upper hand.",2017/06/19
"New York Mayor Bill de Blasio sparred, clashed and laughed with Fox News host Sean Hannity on Wednesday when the Democratic presidential hopeful faced the conservative TV titan who has disparaged him for years.",aponline/2
"Parents are often surprised by unauthorized credit card charges. The culprit: Bait apps, which lure children into buying virtual junk online. Preventing these purchases isn’t easy, but it can be done.",2019/02/06
Short answer: yes. Meet the granddaughter of Serena Williams and Alexis Ohanian.,2019/01/17
We want to hear your stories.,2019/08/06
"If China truly wants to be a climate leader, it needs to address its global climate footprint.",2017/07/21
We have become cheap dates to tech platforms.,2019/07/29
"The ex-president, Alejandro Toledo, is wanted on charges he got $20 million in bribes stemming from the largest corruption scandal in Latin American history.",2019/07/16
